model_rank,grid_id,latitude,longitude,police_station,junction_name,history,peak_hour_weight_score,junction_proximity_score,repeat_hotspot_density_score,last_month,prev_month,station,trend_raw,trend,peak_junction,model_priority_score
2670,"13.062,77.587",13.06207363898305,77.58721878474576,Kodigehalli,No Junction,27.2361590149409,6.779661016949152,0.0,1.7369727047146404,0.0,12.962694758308265,13.740065207332563,-12.962694758308265,36.77982603792688,3.728813559322034,19.06531131045863
2671,"13.084,77.583",13.084324999999998,77.582925,Yelahanka,No Junction,27.20515165985658,100.0,0.0,11.538461538461538,0.0,0.0,3.0640556252486597,0.0,51.30637242162633,55.00000000000001,19.043606161899604
2672,"12.957,77.566",12.95697355,77.56588575,Basavanagudi,BTP214 - 5th Main Chamrajpet  Junction,27.197316820481177,0.0,100.0,1.9230769230769231,0.0,20.960143763079945,39.4852969650819,-20.960143763079945,27.817544962487247,45.0,19.038121774336823
2673,"12.988,77.52",12.987918690476189,77.52021562380953,Kamakshipalya,No Junction,27.127869644273176,61.904761904761905,0.0,6.153846153846154,0.14353632289992074,0.10752688172043022,9.217368807948505,0.01669672076404194,51.32508347616837,34.04761904761905,19.032569647861198
2674,"12.952,77.57",12.951714966666666,77.5699138,V.V.Puram (C.Pet),BTP215 - Vanivillas Junction,27.188645168868316,0.0,100.0,0.0,0.0,19.392599962015808,54.48838186767004,-19.392599962015808,29.574201133075846,45.0,19.03205161820782
2675,"12.965,77.568",12.965358799999999,77.5682113,Chamarajpet,BTP085 - Briyand Circle,27.188645168868316,0.0,100.0,0.0,0.0,21.226774830757254,51.537909226816545,-21.226774830757254,27.518746861925077,45.0,19.03205161820782
2676,"12.993,77.66",12.992723295,77.65996335999999,Banaswadi,No Junction,27.16120519718457,60.0,0.0,2.8846153846153846,0.0,14.833671668865913,5.906489326400098,-14.833671668865913,34.68312983541649,33.0,19.0128436380292
2677,"12.946,77.587",12.945768209913764,77.58713379134976,Wilson Garden,No Junction,21.127061580259276,3.8461538461538463,0.0,5.21978021978022,14.062655763239796,13.921289298745766,49.117041909938614,-1.7507548715353796,49.344402142912024,2.1153846153846154,19.00773983515343
2678,"13.028,77.576",13.02757272888889,77.57575698222223,Sadashivanagar,No Junction,27.150796499597643,17.77777777777778,0.0,3.4855769230769234,0.0,18.540605027175072,10.980084327214001,-18.540605027175072,30.5289828486376,9.777777777777779,19.00555754971835
2679,"13.028,77.54",13.028304914285714,77.53991891428572,Yeshwanthpura,No Junction,27.139994161509023,100.0,0.0,11.538461538461538,0.0,0.0,12.288087141448248,0.0,51.30637242162633,55.00000000000001,18.997995913056315
2680,"12.922,77.665",12.921902588235294,77.66534900294118,Bellandur,No Junction,27.131373149020288,32.35294117647059,0.0,4.615384615384615,0.0,11.827956989247312,14.199732815599068,-11.827956989247312,38.05146138404459,17.794117647058826,18.9919612043142
2681,"12.907,77.676",12.90717435,77.67569610000001,Bellandur,No Junction,19.058930935021877,40.0,0.0,0.21367521367521378,18.788796007438773,1.2954429083461343,14.199732815599068,14.965332616865544,68.0771598589415,22.0,18.977890456746945
2682,"12.916,77.623",12.916056936363635,77.62320894545455,Mico Layout,No Junction,20.490565206038607,45.45454545454545,0.0,0.42735042735042755,15.433025438199465,13.91825279381932,39.10032462174921,-0.5617310546888845,50.67687274017525,25.0,18.973303275686863
2683,"12.989,77.712",12.989122952173913,77.71193068695652,Mahadevapura,No Junction,27.087796973169144,43.47826086956522,0.0,6.9230769230769225,0.0,0.0,11.437018480289666,0.0,51.30637242162633,23.91304347826087,18.9614578812184
2684,"12.917,77.652",12.916848071111112,77.65171766,HSR Layout,No Junction,26.27651551299496,26.666666666666668,0.0,1.6826923076923077,1.865972197698968,0.0,14.955392558343007,1.6149068322981368,53.116105616932515,14.666666666666668,18.953352518406163
2685,"12.892,77.564",12.8920474,77.5635884,K.S. Layout,No Junction,27.07483666316147,100.0,0.0,11.538461538461538,0.0,22.329882616388836,9.058045183084019,-22.329882616388836,26.282557418836742,55.00000000000001,18.95238566421303
2686,"12.971,77.658",12.971432208108109,77.65817023513515,Jeevanbheemanagar,No Junction,24.81656197446011,21.62162162162162,0.0,2.8205128205128207,5.267674390266249,19.63364936593324,21.155098467257545,-15.074737194758832,34.41298156696714,11.891891891891895,18.95189569920195
2687,"12.997,77.581",12.997201722222222,77.58076612777778,Sheshadripuram,No Junction,27.065498341361632,66.66666666666666,0.0,1.5384615384615385,0.0,20.319500523394577,34.5561436235206,-20.319500523394577,28.535476990527037,36.666666666666664,18.94584883895314
2688,"12.975,77.566",12.974836400000001,77.56587080000001,Magadi Road,BTP074 - Leprosy Hospital Junction,27.055945936790298,0.0,100.0,0.9615384615384616,0.0,0.0,48.63333539606011,0.0,51.30637242162633,45.0,18.93916215575321
2689,"12.974,77.711",12.974107815686274,77.71097793921568,Mahadevapura,No Junction,27.042650112446672,0.0,0.0,6.25,0.0,5.117849856269908,11.437018480289666,-5.117849856269908,45.571092473430056,0.0,18.92985507871267
2690,"12.96,77.533",12.959968799999999,77.53264176666666,Byatarayanapura,BTP017 - Attiguppe Circle,27.0415883149589,0.0,100.0,0.0,0.0,0.0,32.6032963136412,0.0,51.30637242162633,45.0,18.929111820471228
2691,"13.069,77.592",13.069232413333333,77.59244723333333,Kodigehalli,No Junction,18.236641005581717,13.333333333333334,0.0,2.1978021978021975,20.540255507845973,5.612335506640509,13.740065207332563,12.164241763735959,64.93813846241719,7.333333333333334,18.927725356260993
2692,"12.987,77.709",12.98717617142857,77.7089555,Mahadevapura,No Junction,17.835032019971983,42.857142857142854,0.0,0.769230769230769,21.473583737613705,1.3978494623655917,11.437018480289666,17.186477321582025,70.56626896623511,23.571428571428573,18.9265975352645
2693,"12.978,77.642",12.978154204166666,77.64174703541667,Jeevanbheemanagar,No Junction,27.02585328396214,20.833333333333336,0.0,5.177514792899409,0.0,10.771121351766514,21.155098467257545,-10.771121351766514,39.235796292337604,11.458333333333336,18.918097298773496
2694,"12.956,77.519",12.956194533333333,77.51859406363636,Byatarayanapura,No Junction,21.584498533240758,0.0,0.0,4.4230769230769225,12.631637586817755,16.753807408581828,32.6032963136412,-5.821748577683405,44.78227366555941,0.0,18.898640249313857
2695,"12.911,77.583",12.9106101,77.58296283333334,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",26.96544941130758,0.0,100.0,0.9615384615384616,0.0,15.32258064516129,36.698253422450215,-15.32258064516129,34.13523766839545,45.0,18.875814587915304
2696,"13.007,77.688",13.006839620338981,77.68788556440678,K.R. Pura,No Junction,26.96520714297501,10.16949152542373,0.0,3.2342657342657337,0.0,3.6124735121838865,9.800706427049683,-3.6124735121838865,47.258081150940455,5.593220338983052,18.875645000082507
2697,"12.942,77.585",12.941849983333334,77.5851536388889,Wilson Garden,No Junction,19.293146767054544,11.11111111111111,0.0,1.223776223776224,17.898898686979752,4.526452006807543,49.117041909938614,10.964161313080155,63.59327733163656,6.111111111111112,18.874872343032106
2698,"12.904,77.676",12.904073365217391,77.67599134782608,Bellandur,No Junction,21.690179311539886,21.73913043478261,0.0,2.0979020979020975,12.285948142241004,10.688426429038932,14.199732815599068,-0.055544749112405256,51.24412661630601,11.956521739130435,18.86890996075022
2699,"13.038,77.575",13.037829744444444,77.57487468888888,Kodigehalli,No Junction,26.954508522390395,77.77777777777779,0.0,15.384615384615385,0.0,0.0,13.740065207332563,0.0,51.30637242162633,42.777777777777786,18.868155965673274
2700,"12.995,77.566",12.994896685714284,77.56588544285715,Sheshadripuram,No Junction,26.953971592108118,100.0,0.0,4.807692307692308,0.0,0.0,34.5561436235206,0.0,51.30637242162633,55.00000000000001,18.867780114475682
2701,"13.202,77.679",13.202141671428572,77.67880588571428,Devanahalli Airport,No Junction,26.953971592108118,100.0,0.0,4.807692307692308,0.0,0.0,1.2200889442145704,0.0,51.30637242162633,55.00000000000001,18.867780114475682
2702,"12.879,77.545",12.879045049676568,77.5453311158312,Thalagattapura,No Junction,21.865796694054755,60.0,0.0,1.2820512820512822,11.869692805831233,14.956559533689262,1.704036854232399,-4.683926300967704,46.05736564198068,33.0,18.8669655275877
2703,"13.003,77.663",13.003399947826086,77.66276019130434,Banaswadi,No Junction,20.88060094399439,8.695652173913043,0.0,6.9230769230769225,14.167035070222163,0.0,5.906489326400098,12.26086956521739,65.0464236813741,4.782608695652174,18.866531181862722
2704,"12.92,77.645",12.91964343414634,77.64509906341463,HSR Layout,No Junction,26.950270262631864,24.390243902439025,0.0,2.4572649572649574,0.0,16.237703288371534,14.955392558343007,-16.237703288371534,33.109712361256136,13.414634146341463,18.865189183842304
2705,"12.902,77.601",12.902098166666667,77.60101166666666,J.P. Nagar,BTP181 - Bileka Halli Junction,26.9428252799369,0.0,100.0,0.9615384615384616,0.0,21.071819986110963,36.698253422450215,-21.071819986110963,27.692395843105515,45.0,18.85997769595583
2706,"12.98,77.597",12.9804393,77.5965527,Cubbon Park,BTP042 - Minsk Square Junction (CTO),26.94279534256104,0.0,100.0,1.9230769230769231,0.0,0.0,50.61540500387677,0.0,51.30637242162633,45.0,18.85995673979273
2707,"12.959,77.581",12.958559466666665,77.58065146666667,City Market,BTP167 - JC Road Junction,26.929337817004384,0.0,100.0,3.8461538461538463,0.0,21.153123740275866,82.0126412123074,-21.153123740275866,27.601283402516078,45.0,18.85053647190307
2708,"12.961,77.601",12.960663466666666,77.60115993333334,Ashok Nagar,BTP172 - Nanjappa Circle,26.90584352673483,0.0,100.0,0.0,0.0,16.80747567844342,33.15323442077926,-16.80747567844342,32.47120121778995,45.0,18.83409046871438
2709,"12.99,77.604",12.990060447826087,77.60381456086957,Shivajinagar,No Junction,20.901374096055186,8.695652173913043,0.0,3.6057692307692304,13.99479148274226,13.689594470276743,69.89670850724588,-1.5777932280407185,49.53823030778612,4.782608695652174,18.829399312061305
2710,"13.043,77.513",13.042653600000001,77.51326525,Peenya,No Junction,26.875919094497252,100.0,0.0,5.769230769230769,0.0,0.0,7.37732022338763,0.0,51.30637242162633,55.00000000000001,18.813143366148076
2711,"12.941,77.62",12.940691805555556,77.62029350555555,Adugodi,No Junction,17.96195395195345,0.0,0.0,5.0,20.788763400842544,7.927167708910995,24.748951678622866,10.064480876448117,62.585057217152595,0.0,18.80999678662018
2712,"13.009,77.526",13.008913972727273,77.52645676666667,Rajajinagar,No Junction,26.86197270222371,39.39393939393939,0.0,2.3076923076923084,0.0,0.0,37.834312884096626,0.0,51.30637242162633,21.66666666666667,18.803380891556596
